"id","match_num","team","rst","side","gtime","gold","tot_dam","kill","death","assist","tower","inhibitor","herald","dragon","elder","baron","sight","total_cs","set"
1017,"18497",KDF,Victory,Blue Side,"41:39",71556,111116,16,8,28,11,3,1,4,0,1,69,1280,1
1018,"18497",BRO,Defeat,Red Side,"41:39",67695,61981,8,16,12,3,0,1,1,0,0,78,1396,1
1019,"17441",T1,Victory,Blue Side,"29:24",56210,72697,16,4,34,8,1,1,4,0,0,46,1056,1
1020,"17441",DRX,Defeat,Red Side,"29:24",43828,31807,4,16,8,1,0,1,1,0,0,40,942,1
1021,"17441",DRX,Defeat,Blue Side,"30:31",49537,50757,9,21,21,2,0,1,0,0,0,54,934,2
1022,"17441",T1,Victory,Red Side,"30:31",60657,63373,21,9,45,10,1,1,4,0,1,42,1043,2
1023,"17442",KDF,Victory,Blue Side,"31:58",59595,75453,16,5,49,10,2,0,3,0,1,49,1026,1
1024,"17442",LSB,Defeat,Red Side,"31:58",51994,64833,5,16,12,5,0,2,2,0,0,36,1042,1
1025,"17442",LSB,Defeat,Blue Side,"34:54",55138,53805,8,21,22,3,0,2,3,0,0,49,1081,2
1026,"17442",KDF,Victory,Red Side,"34:54",65894,75947,21,8,58,9,1,0,2,0,1,67,1103,2
1027,"17443",BRO,Victory,Blue Side,"39:53",72947,77997,18,9,45,10,3,1,2,0,2,63,1277,1
1028,"17443",DK,Defeat,Red Side,"39:53",63054,75392,9,18,16,2,0,1,3,0,0,68,1270,1
1029,"17443",DK,Defeat,Blue Side,"27:24",42419,32954,3,10,7,2,0,2,0,0,0,45,875,2
1030,"17443",BRO,Victory,Red Side,"27:24",50586,43997,10,3,19,9,2,0,4,0,1,48,924,2
1031,"17444",NS,Victory,Blue Side,"43:17",78374,75560,15,10,36,8,1,1,4,0,1,74,1517,1
1032,"17444",HLE,Defeat,Red Side,"43:17",71760,73294,10,15,28,5,0,1,2,0,1,64,1390,1
1033,"17444",HLE,Defeat,Blue Side,"27:33",43255,47942,7,17,23,0,0,0,0,0,0,27,862,2
1034,"17444",NS,Victory,Red Side,"27:33",54413,71213,17,7,38,8,2,2,4,0,1,46,943,2
1035,"17445",GEN,Victory,Blue Side,"31:59",65912,78842,17,8,38,11,3,2,2,0,2,46,1128,1
1036,"17445",KT,Defeat,Red Side,"31:59",50085,56910,8,17,21,1,0,0,3,0,0,46,1037,1
1037,"17445",KT,Victory,Blue Side,"21:05",42289,38409,11,2,25,7,1,2,3,0,0,29,796,2
1038,"17445",GEN,Defeat,Red Side,"21:05",33042,29063,2,11,6,0,0,0,0,0,0,24,739,2
1039,"17445",GEN,Victory,Blue Side,"27:32",58052,69823,20,10,49,10,1,1,3,0,1,45,949,3
1040,"17445",KT,Defeat,Red Side,"27:32",46314,44913,10,20,17,2,0,1,1,0,0,42,894,3
1041,"17446",T1,Defeat,Blue Side,"41:05",74734,106075,10,19,23,8,2,2,2,1,0,67,1406,1
1042,"17446",LSB,Victory,Red Side,"41:05",77923,91242,19,10,43,9,1,0,4,0,2,52,1380,1
1043,"17446",LSB,Defeat,Blue Side,"21:33",32310,30587,3,23,4,2,0,1,0,0,0,16,633,2
1044,"17446",T1,Victory,Red Side,"21:33",48669,58355,23,3,36,10,1,1,2,0,1,26,763,2
1045,"17446",T1,Victory,Blue Side,"24:54",53036,70030,20,8,44,11,3,2,1,0,1,31,837,3
1046,"17446",LSB,Defeat,Red Side,"24:54",38115,37891,8,20,20,1,0,0,2,0,0,25,750,3
1047,"17447",KDF,Victory,Blue Side,"30:14",58541,52134,15,1,31,10,2,2,4,0,1,48,1091,1
1048,"17447",HLE,Defeat,Red Side,"30:14",48423,34927,1,15,3,3,0,0,0,0,0,41,1044,1
1049,"17447",HLE,Victory,Blue Side,"30:11",56512,53491,10,4,26,11,3,1,4,0,1,44,1053,2
